Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,29,1856000,96.97,96.97,0.05,3120.53,100%
write,write,38,2432000000,781.66,314.82,0.06,4088968.7,100%
write,write,23,23000000000,9479.52,595.17,0.04,38670345.39,100%
list,list,51,0,13.8,13.8,0.09,0,100%
delete,delete,38,0,44.11,44.11,0.06,0,100%
read,read,99,6336000,20.25,19.99,0.17,10652.84,100%
read,read,108,6912000000,534.12,59.98,0.18,11621279.45,100%
read,read,47,47000000000,6002.49,59.89,0.08,79022010.15,100%
write,write,28,1792000,260.86,260.68,0.05,3014.5,100%
write,write,27,1728000000,628.67,314.07,0.05,2906839.82,100%
write,write,18,18000000000,10167.56,369,0.03,30279581.47,100%
list,list,33,0,27.97,27.97,0.06,0,100%
delete,delete,46,0,101.04,101.04,0.08,0,100%
read,read,89,5696000,21.78,21.55,0.15,9581.81,100%
read,read,82,5248000000,549.87,51.06,0.14,8828180.2,100%
read,read,58,58000000000,5767.84,54.67,0.1,97567540.29,100%
write,write,45,2880000,183.62,183.53,0.08,4817.99,100%
write,write,40,2560000000,866.08,501.23,0.07,4282655.25,100%
write,write,16,16000000000,12048.88,461.88,0.03,26766595.29,100%
list,list,51,0,36.51,36.51,0.09,0,100%
delete,delete,57,0,47.95,47.95,0.1,0,100%
read,read,116,7424000,25,24.73,0.19,12419.7,100%
read,read,135,8640000000,322.95,41.07,0.23,14453961.46,100%
read,read,53,53000000000,5866.81,77.92,0.09,88664346.9,100%
write,write,33,2112000,335.21,335.18,0.06,3552.97,100%
write,write,30,1920000000,924.43,278.97,0.05,3229968.73,100%
write,write,21,21000000000,10773.38,528.43,0.04,35327782.95,100%
list,list,50,0,11.34,11.34,0.08,0,100%
delete,delete,48,0,45.48,45.48,0.08,0,100%
read,read,103,6592000,20.5,20.26,0.17,11089.56,100%
read,read,92,5888000000,417.93,41.87,0.15,9905237.43,100%
read,read,49,49000000000,5837.67,73.27,0.08,82431493.54,100%
write,write,51,3264000,124,123.84,0.09,5488.56,100%
write,write,45,2880000000,1133.82,736.53,0.08,4842851.16,100%
write,write,22,22000000000,9829.86,454.36,0.04,36994001.93,100%
list,list,53,0,15.72,15.72,0.09,0,100%
delete,delete,42,0,44.5,44.5,0.07,0,100%
read,read,132,8448000,18.33,18.04,0.22,14205.7,100%
read,read,130,8320000000,411.39,46.2,0.22,13990458.91,100%
read,read,44,44000000000,5964.57,73.82,0.07,73988003.85,100%
write,write,30,1920000,160.17,160.13,0.05,3216.04,100%
write,write,30,1920000000,523.77,234.1,0.05,3216037.31,100%
